分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,判定,反発確度スコア
2026-08-09 12:03:13,2026-08-07,NFLX,Netflix,74.1,0.4,0.61,78.0,-0.489,-1.196,72.6,75.4,65.1,False,False,RSI 78.0（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,QCOM,Qualcomm,167.9,7.5,4.66,48.2,-8.246,-9.479,170.6,190.0,142.9,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,SBUX,Starbucks,105.6,0.4,0.4,53.3,0.505,0.507,104.9,109.2,101.8,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 45点（反発余地あり）,45
2026-08-09 12:03:13,2026-08-07,AMAT,Applied Materials,539.1,11.7,2.21,52.1,-10.188,-11.762,543.9,614.1,436.3,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-09 12:03:13,2026-08-07,LOW,Lowe's,223.4,5.0,2.27,69.5,1.327,-0.456,211.8,223.6,199.4,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,CAT,Caterpillar,842.2,-14.8,-1.72,45.9,-22.724,-23.981,883.7,962.8,776.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,BLK,BlackRock,1136.4,7.1,0.63,69.2,27.815,21.618,1068.1,1150.3,1016.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,GE,General Electric,370.1,-4.5,-1.19,68.4,6.276,4.573,358.8,388.8,336.5,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,HON,Honeywell,246.2,5.5,2.27,68.5,4.189,3.504,234.9,252.0,220.4,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,BA,Boeing,234.4,2.2,0.96,66.6,4.013,1.301,220.8,241.1,203.9,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,MDT,Medtronic,87.2,1.2,1.44,65.5,1.488,1.378,84.0,89.0,79.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,SPGI,S&P Global,408.2,3.0,0.73,28.7,-2.528,1.316,429.3,462.0,403.5,False,False,RSI 28.7（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,GS,Goldman Sachs,1039.6,7.0,0.68,47.3,-4.421,-1.982,1057.2,1154.0,977.7,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,PLD,Prologis,140.2,1.0,0.73,35.4,-0.65,0.278,144.1,153.4,138.2,False,False,RSI 35.4（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,ADBE,Adobe,265.2,5.0,1.91,64.3,10.222,7.438,236.6,270.2,210.9,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,NOW,ServiceNow,124.9,7.5,6.42,67.1,4.253,2.415,108.4,126.2,91.5,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,BKNG,Booking Holdings,214.4,7.0,3.39,76.7,8.08,5.675,186.7,215.7,171.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 76.7（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,ISRG,Intuitive Surgical,378.8,5.1,1.36,62.5,-7.17,-11.872,375.2,414.6,328.6,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-09 12:03:13,2026-08-07,LMT,Lockheed Martin,588.0,5.1,0.88,78.8,17.05,14.367,548.4,593.8,487.1,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 78.8（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,EL,Estee Lauder,88.3,2.9,3.35,62.5,1.031,0.469,83.5,88.9,78.7,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,MO,Altria,68.3,0.6,0.89,28.8,-0.957,-0.391,71.4,77.1,66.8,False,False,RSI 28.8（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,DE,Deere,620.8,6.0,0.97,61.9,5.096,4.856,605.1,644.0,576.5,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,C,Citigroup,135.0,1.2,0.88,62.2,-0.223,-0.778,134.0,143.6,126.1,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 60点（反発候補）,60
2026-08-09 12:03:13,2026-08-07,T,AT&T,23.8,0.1,0.34,65.4,0.401,0.344,22.5,25.3,21.2,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 30点（反発余地あり）,30
2026-08-09 12:03:13,2026-08-07,VZ,Verizon,47.1,0.1,0.15,67.0,0.829,0.647,44.7,49.0,42.2,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,FDX,FedEx,318.6,2.7,0.85,62.7,-0.85,-1.67,312.8,322.1,303.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,SO,Southern Company,92.7,-0.2,-0.23,41.3,-0.547,-0.133,95.2,98.9,91.2,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,DUK,Duke Energy,124.8,0.9,0.77,46.5,-0.437,0.05,126.4,132.6,121.8,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,AEP,American Electric Power,125.7,0.5,0.38,34.8,-1.843,-1.038,131.9,136.6,124.2,False,False,RSI 34.8（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,REGN,Regeneron,784.4,12.2,1.59,83.6,33.224,23.795,694.8,786.0,637.8,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / RSI 83.6（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,GILD,Gilead Sciences,133.2,2.4,1.8,50.0,0.618,0.671,132.2,140.6,127.6,True,False,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 45点（反発余地あり）,45
2026-08-09 12:03:13,2026-08-07,VRTX,Vertex Pharmaceuticals,496.1,12.0,2.49,60.3,2.131,1.896,486.0,497.4,465.0,False,False,ボックス上限タッチ＋上昇（上抜け警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,CSX,CSX Corp,50.3,-0.4,-0.85,50.8,0.588,0.796,50.3,53.6,48.9,True,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,NSC,Norfolk Southern,334.4,-6.8,-1.98,50.6,4.788,5.666,333.0,357.2,322.1,True,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,BDX,Becton Dickinson,176.9,-0.2,-0.12,85.1,5.968,4.433,160.1,179.4,148.3,False,False,RSI 85.1（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,CL,Colgate-Palmolive,93.3,0.3,0.29,54.4,0.49,0.412,92.0,95.5,89.1,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 30点（反発余地あり）,30
2026-08-09 12:03:13,2026-08-07,MNST,Monster Beverage,90.4,-3.8,-4.04,36.4,-0.29,0.406,95.9,100.3,89.5,False,True,ボックス下限タッチ＋下落（下抜け警戒） / RSI 36.4（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 30点（反発余地あり）,30
2026-08-09 12:03:13,2026-08-07,KDP,Keurig Dr Pepper,30.0,-0.4,-1.19,45.3,-0.112,-0.061,30.8,33.1,29.5,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 5点（反発余地あり）,5
2026-08-09 12:03:13,2026-08-07,WM,Waste Management,227.7,-1.3,-0.58,33.9,-0.428,1.105,233.4,247.1,222.2,False,False,RSI 33.9（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,ADP,Automatic Data Processing,271.3,-2.2,-0.8,62.3,9.708,9.067,255.3,280.6,240.4,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
